firstName,lastName,district,nextReelection,leadershipTitle,party,dateOfBirth,cspanid,sex,govtrackLink,twitterID,youtubeID,lastElected,districtState,website,phone,senatorRank,house,description,govtrackID,education
Roy,Blunt,,2017-01-03 00:00,,REP,1950-01-10 00:00,45465,M,https://www.govtrack.us/congress/members/roy_blunt/400034,RoyBlunt,SenatorBlunt,2011-01-05 00:00,MO,http://www.blunt.senate.gov,202-224-5721,junior,SN,Junior senator from MO,400034,
John,Boozman,,2017-01-03 00:00,,REP,1950-12-10 00:00,92069,M,https://www.govtrack.us/congress/members/john_boozman/400040,JohnBoozman,BoozmanPressOffice,2011-01-05 00:00,AR,http://www.boozman.senate.gov,202-224-4843,junior,SN,Junior senator from AR,400040,
Richard,Burr,,2017-01-03 00:00,,REP,1955-11-30 00:00,31054,M,https://www.govtrack.us/congress/members/richard_burr/400054,SenatorBurr,SenatorRichardBurr,2011-01-05 00:00,NC,http://www.burr.senate.gov,202-224-3154,senior,SN,Senior senator from NC,400054,"B.A., Wake Forest University, Winston-Salem, N.C., 1978"
John,Isakson,,2017-01-03 00:00,,REP,1944-12-28 00:00,59135,M,https://www.govtrack.us/congress/members/john_isakson/400194,SenatorIsakson,SenatorIsakson,2011-01-05 00:00,GA,http://www.isakson.senate.gov,202-224-3643,junior,SN,Junior senator from GA,400194,
Mark,Kirk,,2017-01-03 00:00,,REP,1959-09-15 00:00,85221,M,https://www.govtrack.us/congress/members/mark_kirk/400222,SenatorKirk,SenatorKirk,2011-01-05 00:00,IL,http://www.kirk.senate.gov,202-224-2854,junior,SN,Junior senator from IL,400222,"B.A., Cornell University, Ithaca, N.Y., 1981
M.S., London School of Economics, London, England, 1982
J.D., Georgetown University, Washington, D.C., 1992"
Jerry,Moran,,2017-01-03 00:00,,REP,1954-05-29 00:00,45469,M,https://www.govtrack.us/congress/members/jerry_moran/400284,JerryMoran,senatorjerrymoran,2011-01-05 00:00,KS,http://www.moran.senate.gov,202-224-6521,junior,SN,Junior senator from KS,400284,"M.B.A. candidate, Fort Hays State University, Hays, Kans."
Robert,Portman,,2017-01-03 00:00,,REP,1955-12-19 00:00,31819,M,https://www.govtrack.us/congress/members/robert_portman/400325,RobPortman,SenRobPortman,2011-01-05 00:00,OH,http://www.portman.senate.gov,202-224-3353,junior,SN,Junior senator from OH,400325,
Patrick,Toomey,,2017-01-03 00:00,,REP,1961-11-17 00:00,7958,M,https://www.govtrack.us/congress/members/patrick_toomey/400408,SenToomey,sentoomey,2011-01-05 00:00,PA,http://www.toomey.senate.gov,202-224-4254,junior,SN,Junior senator from PA,400408,
Mark,Udall,,2015-01-03 00:00,,DEM,1950-07-18 00:00,7634,M,https://www.govtrack.us/congress/members/mark_udall/400412,MarkUdall,senatormarkudall,2009-01-06 00:00,CO,http://www.markudall.senate.gov,202-224-5941,senior,SN,Senior senator from CO,400412,"B.A., Williams College, Williamstown, Mass., 1972"
Tom,Udall,,2015-01-03 00:00,,DEM,1948-05-18 00:00,10075,M,https://www.govtrack.us/congress/members/tom_udall/400413,SenatorTomUdall,senatortomudall,2009-01-06 00:00,NM,http://www.tomudall.senate.gov,202-224-6621,senior,SN,Senior senator from NM,400413,"J.D., University of New Mexico School of Law, Albuquerque, N.M., 1977"
